feature_key,feature_name,allowed_roles
acesso_pagina_configuracoes,Acesso à Página de Configurações,admin
acesso_pagina_geracao_documentos,Acesso à Página de Geração de Documentos,"admin,comcia,compel,supervisor"
acesso_pagina_lancamentos_faia,Acesso à Página de Lançamentos FAIA,"admin,comcia,compel,supervisor"
acesso_pagina_rancho_pernoite,Acesso aos Relatórios de Rancho,"admin,comcia,compel,rancho_viewer,supervisor"
acesso_pagina_relatorios,Acesso à Página de Relatórios,"admin,comcia,compel,supervisor"
acesso_pagina_revisao_geral,Acesso à Página de Revisão Geral,admin
pode_editar_aluno,Pode Editar Dados de Alunos,"admin,comcia,compel,supervisor"
pode_editar_lancamento_faia,Pode Editar Lançamentos na Fila,admin
pode_escanear_cracha,Pode Usar o Scanner de Crachás,"admin,comcia,compel,supervisor"
pode_excluir_evento_programacao,Pode Excluir Eventos da Programação,"admin,comcia,compel,supervisor"
pode_excluir_lancamento_faia,Pode Excluir Lançamentos na tela da FAIA,"admin,comcia,compel,supervisor"
pode_finalizar_evento_programacao,Pode Finalizar Eventos (Status Concluído),"admin,comcia,compel,supervisor"
pode_gerenciar_tipos_acao,Pode Adicionar/Editar/Excluir Tipos de Ação,"admin,comcia,compel"
pode_gerenciar_usuarios,Pode Adicionar/Excluir Usuários,admin
pode_importar_alunos,Pode Importar Alunos em Massa,admin
pode_importar_eventos,Pode Importar Eventos em Massa,admin
pode_ver_conceito_final,Pode Visualizar o Conceito Final do Aluno,"admin,comcia,compel,supervisor"
